,0
0,False
1,False
2,False
3,False
4,False
5,False
6,True
7,False
8,False
9,False
10,True
11,False
12,True
13,False
14,True
15,True
16,True
17,False
18,False
19,True
20,False
21,True
22,True
23,True
24,False
25,False
26,True
27,False
28,False
29,False
30,False
31,False
32,True
33,True
34,False
35,False
36,False
37,False
38,False
39,True
40,False
41,False
42,False
43,True
44,True
45,False
46,False
47,True
48,True
49,False
50,False
51,False
52,False
53,True
54,False
55,False
56,False
57,False
58,False
59,True
60,False
61,False
62,False
63,True
64,True
65,True
66,True
67,False
68,False
69,False
70,False
71,False
72,False
73,True
74,True
75,False
76,True
77,True
78,False
79,False
80,True
81,False
82,True
83,True
84,True
85,False
86,False
87,False
88,True
89,True
90,False
91,True
92,False
93,True
94,False
95,False
96,False
97,False
98,False
99,True
100,True
101,False
102,True
103,False
104,False
105,False
106,False
107,True
108,True
109,False
110,False
111,True
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,True
121,False
122,True
123,False
124,True
125,True
126,False
127,True
128,True
129,False
130,True
131,False
132,False
133,False
134,True
135,False
136,True
137,False
138,False
139,False
140,False
141,True
142,False
143,False
144,False
145,False
146,False
147,False
148,False
149,False
150,True
151,True
152,False
153,False
154,False
155,False
156,True
157,False
158,False
159,True
160,True
161,True
162,False
163,True
164,True
165,False
166,False
167,False
168,True
169,False
170,True
171,True
172,False
173,True
174,False
175,True
176,True
177,False
178,False
179,True
180,False
181,False
182,True
183,True
184,True
185,False
186,True
187,False
188,False
189,False
190,False
191,False
192,True
193,False
194,True
195,True
196,True
197,False
198,False
199,False
200,True
201,True
202,True
203,True
204,False
205,False
206,True
207,False
208,True
209,False
210,True
211,True
212,False
213,True
214,False
215,False
216,True
217,False
218,True
219,True
220,True
221,False
222,False
223,False
224,True
225,True
226,False
227,True
228,False
229,False
230,False
231,True
232,False
233,True
234,True
235,False
236,True
237,False
238,True
239,True
240,True
241,False
242,False
243,True
244,False
245,False
246,False
247,False
248,True
249,True
250,True
251,False
252,True
253,False
254,True
255,True
256,True
257,False
258,True
259,False
260,False
261,False
262,True
263,True
264,False
265,True
266,False
267,True
268,False
269,False
270,False
271,True
272,True
273,False
274,True
275,True
276,False
277,False
278,False
279,False
280,False
281,True
282,True
283,False
284,True
285,False
286,True
287,False
288,True
289,True
290,False
291,True
292,True
293,False
294,False
295,False
296,True
297,False
298,False
299,False
300,True
301,False
302,False
303,False
304,True
305,True
306,True
307,True
308,False
309,False
310,False
311,False
312,True
313,False
314,True
315,True
316,True
317,False
318,False
319,False
320,False
321,True
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,True
332,True
333,False
334,False
335,False
336,False
337,False
338,False
339,True
340,False
341,True
342,False
343,True
344,False
345,False
346,False
347,False
348,False
349,True
350,True
351,False
352,False
353,False
354,True
355,True
356,True
357,True
358,True
359,False
360,False
361,True
362,True
363,False
364,True
365,False
366,False
367,False
368,True
369,False
370,False
371,True
372,True
373,False
374,True
375,True
376,False
377,False
378,False
379,False
380,True
381,False
382,False
383,False
384,False
385,True
386,False
387,False
388,False
389,False
390,False
391,True
392,True
393,False
394,False
395,True
396,False
397,True
398,False
399,True
400,True
401,False
402,True
403,False
404,True
405,False
406,False
407,False
408,True
409,True
410,True
411,True
412,False
413,True
414,True
415,False
416,True
417,False
