,0
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,True
9,False
10,False
11,False
12,True
13,False
14,True
15,True
16,False
17,False
18,False
19,True
20,True
21,True
22,True
23,True
24,True
25,False
26,True
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,True
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,True
44,True
45,False
46,False
47,False
48,True
49,False
50,True
51,False
52,True
53,True
54,False
55,False
56,False
57,False
58,False
59,True
60,False
61,False
62,False
63,True
64,True
65,True
66,True
67,False
68,False
69,True
70,True
71,False
72,False
73,True
74,True
75,False
76,False
77,True
78,False
79,True
80,True
81,False
82,False
83,False
84,False
85,False
86,True
87,True
88,False
89,True
90,False
91,False
92,True
93,False
94,True
95,False
96,True
97,False
98,True
99,False
100,True
101,False
102,False
103,False
104,True
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,True
113,True
114,True
115,False
116,False
117,True
118,False
119,True
120,True
121,False
122,True
123,False
124,False
125,True
126,False
127,False
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,False
136,False
137,False
138,False
139,False
140,False
141,True
142,False
143,False
144,False
145,False
146,False
147,False
148,False
149,False
150,True
151,False
152,False
153,False
154,False
155,False
156,True
157,False
158,False
159,True
160,False
161,True
162,True
163,False
164,False
165,False
166,False
167,False
168,True
169,False
170,False
171,False
172,False
173,False
174,False
175,True
176,True
177,True
178,True
179,True
180,False
181,True
182,True
183,False
184,True
185,False
186,True
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,True
195,False
196,True
197,True
198,False
199,False
200,False
201,True
202,True
203,True
204,False
205,False
206,False
207,False
208,True
209,False
210,False
211,False
212,False
213,True
214,False
215,False
216,False
217,False
218,True
219,False
220,True
221,False
222,True
223,False
224,True
225,True
226,False
227,False
228,False
229,False
230,False
231,True
232,False
233,False
234,True
235,False
236,True
237,False
238,True
239,True
240,True
241,True
242,True
243,False
244,False
245,False
246,True
247,False
248,True
249,True
250,True
251,False
252,True
253,False
254,False
255,False
256,False
257,False
258,True
259,False
260,False
261,False
262,True
263,True
264,False
265,False
266,False
267,False
268,False
269,False
270,False
271,False
272,True
273,False
274,False
275,True
276,False
277,False
278,False
279,False
280,False
281,True
282,False
283,True
284,True
285,False
286,False
287,True
288,False
289,False
290,False
291,False
292,False
293,False
294,False
295,False
296,True
297,False
298,False
299,False
300,False
301,False
302,False
303,False
304,False
305,True
306,True
307,True
308,False
309,False
310,False
311,False
312,False
313,False
314,True
315,True
316,True
317,False
318,False
319,False
320,False
321,False
322,False
323,False
324,True
325,False
326,True
327,False
328,False
329,False
330,True
331,False
332,False
333,True
334,False
335,False
336,False
337,False
338,False
339,False
340,False
341,False
342,False
343,True
344,False
345,True
346,False
347,False
348,False
349,True
350,True
351,False
352,False
353,False
354,True
355,False
356,True
357,False
358,False
359,False
360,False
361,True
362,True
363,False
364,True
365,False
366,False
367,False
368,True
369,False
370,False
371,True
372,False
373,False
374,True
375,True
376,False
377,False
378,False
379,False
380,False
381,False
382,False
383,False
384,False
385,True
386,False
387,False
388,False
389,False
390,False
391,True
392,True
393,False
394,False
395,True
396,False
397,True
398,False
399,False
400,True
401,False
402,True
403,True
404,True
405,False
406,False
407,True
408,False
409,True
410,False
411,True
412,False
413,False
414,True
415,False
416,False
417,False
